Scenario,Function,Algorithm,SuccessRate%
near,ridge,DisGrem,100.0
near,ridge,CeDisGrem,100.0
near,ridge,AdaDisGrem,100.0
near,ridge,CeAdaDisGrem,100.0
near,ridge,EXTRA,0.0
near,ridge,DIGing,0.0
near,ridge,DQM,100.0
near,ridge,ESOM,59.0
near,ridge,SONATA,100.0
near,ridge,NetworkGIANT,100.0
near,quadbad,DisGrem,99.0
near,quadbad,CeDisGrem,100.0
near,quadbad,AdaDisGrem,99.0
near,quadbad,CeAdaDisGrem,100.0
near,quadbad,EXTRA,0.0
near,quadbad,DIGing,0.0
near,quadbad,DQM,98.0
near,quadbad,ESOM,0.0
near,quadbad,SONATA,1.0
near,quadbad,NetworkGIANT,1.0
near,logsumexp,DisGrem,100.0
near,logsumexp,CeDisGrem,100.0
near,logsumexp,AdaDisGrem,41.0
near,logsumexp,CeAdaDisGrem,92.0
near,logsumexp,EXTRA,0.0
near,logsumexp,DIGing,0.0
near,logsumexp,DQM,0.0
near,logsumexp,ESOM,0.0
near,logsumexp,SONATA,0.0
near,logsumexp,NetworkGIANT,0.0
near,huber,DisGrem,26.0
near,huber,CeDisGrem,40.0
near,huber,AdaDisGrem,26.0
near,huber,CeAdaDisGrem,15.0
near,huber,EXTRA,0.0
near,huber,DIGing,0.0
near,huber,DQM,0.0
near,huber,ESOM,0.0
near,huber,SONATA,0.0
near,huber,NetworkGIANT,0.0
near,linlog,DisGrem,60.0
near,linlog,CeDisGrem,12.0
near,linlog,AdaDisGrem,57.0
near,linlog,CeAdaDisGrem,9.0
near,linlog,EXTRA,100.0
near,linlog,DIGing,100.0
near,linlog,DQM,0.0
near,linlog,ESOM,0.0
near,linlog,SONATA,0.0
near,linlog,NetworkGIANT,0.0
near,logreg_real,DisGrem,100.0
near,logreg_real,CeDisGrem,97.0
near,logreg_real,AdaDisGrem,100.0
near,logreg_real,CeAdaDisGrem,56.0
near,logreg_real,EXTRA,0.0
near,logreg_real,DIGing,0.0
near,logreg_real,DQM,0.0
near,logreg_real,ESOM,0.0
near,logreg_real,SONATA,53.0
near,logreg_real,NetworkGIANT,49.0
near,rosenbrock,DisGrem,100.0
near,rosenbrock,CeDisGrem,0.0
near,rosenbrock,AdaDisGrem,100.0
near,rosenbrock,CeAdaDisGrem,0.0
near,rosenbrock,EXTRA,0.0
near,rosenbrock,DIGing,0.0
near,rosenbrock,DQM,97.0
near,rosenbrock,ESOM,100.0
near,rosenbrock,SONATA,100.0
near,rosenbrock,NetworkGIANT,100.0
near,styblinski_tang,DisGrem,100.0
near,styblinski_tang,CeDisGrem,100.0
near,styblinski_tang,AdaDisGrem,100.0
near,styblinski_tang,CeAdaDisGrem,100.0
near,styblinski_tang,EXTRA,0.0
near,styblinski_tang,DIGing,0.0
near,styblinski_tang,DQM,0.0
near,styblinski_tang,ESOM,0.0
near,styblinski_tang,SONATA,100.0
near,styblinski_tang,NetworkGIANT,100.0
near,logreg_ncvr,DisGrem,100.0
near,logreg_ncvr,CeDisGrem,100.0
near,logreg_ncvr,AdaDisGrem,100.0
near,logreg_ncvr,CeAdaDisGrem,90.0
near,logreg_ncvr,EXTRA,0.0
near,logreg_ncvr,DIGing,0.0
near,logreg_ncvr,DQM,0.0
near,logreg_ncvr,ESOM,0.0
near,logreg_ncvr,SONATA,100.0
near,logreg_ncvr,NetworkGIANT,96.0
far,ridge,DisGrem,100.0
far,ridge,CeDisGrem,100.0
far,ridge,AdaDisGrem,100.0
far,ridge,CeAdaDisGrem,100.0
far,ridge,EXTRA,0.0
far,ridge,DIGing,0.0
far,ridge,DQM,100.0
far,ridge,ESOM,59.0
far,ridge,SONATA,100.0
far,ridge,NetworkGIANT,100.0
far,quadbad,DisGrem,99.0
far,quadbad,CeDisGrem,100.0
far,quadbad,AdaDisGrem,99.0
far,quadbad,CeAdaDisGrem,100.0
far,quadbad,EXTRA,0.0
far,quadbad,DIGing,0.0
far,quadbad,DQM,98.0
far,quadbad,ESOM,1.0
far,quadbad,SONATA,1.0
far,quadbad,NetworkGIANT,1.0
far,logsumexp,DisGrem,100.0
far,logsumexp,CeDisGrem,100.0
far,logsumexp,AdaDisGrem,42.0
far,logsumexp,CeAdaDisGrem,53.0
far,logsumexp,EXTRA,0.0
far,logsumexp,DIGing,0.0
far,logsumexp,DQM,0.0
far,logsumexp,ESOM,0.0
far,logsumexp,SONATA,0.0
far,logsumexp,NetworkGIANT,0.0
far,huber,DisGrem,26.0
far,huber,CeDisGrem,37.0
far,huber,AdaDisGrem,25.0
far,huber,CeAdaDisGrem,12.0
far,huber,EXTRA,0.0
far,huber,DIGing,0.0
far,huber,DQM,0.0
far,huber,ESOM,0.0
far,huber,SONATA,0.0
far,huber,NetworkGIANT,0.0
far,linlog,DisGrem,60.0
far,linlog,CeDisGrem,23.0
far,linlog,AdaDisGrem,55.0
far,linlog,CeAdaDisGrem,20.0
far,linlog,EXTRA,89.0
far,linlog,DIGing,100.0
far,linlog,DQM,0.0
far,linlog,ESOM,0.0
far,linlog,SONATA,0.0
far,linlog,NetworkGIANT,0.0
far,logreg_real,DisGrem,100.0
far,logreg_real,CeDisGrem,77.0
far,logreg_real,AdaDisGrem,100.0
far,logreg_real,CeAdaDisGrem,37.0
far,logreg_real,EXTRA,0.0
far,logreg_real,DIGing,0.0
far,logreg_real,DQM,0.0
far,logreg_real,ESOM,0.0
far,logreg_real,SONATA,51.0
far,logreg_real,NetworkGIANT,48.0
far,rosenbrock,DisGrem,100.0
far,rosenbrock,CeDisGrem,0.0
far,rosenbrock,AdaDisGrem,100.0
far,rosenbrock,CeAdaDisGrem,0.0
far,rosenbrock,EXTRA,0.0
far,rosenbrock,DIGing,0.0
far,rosenbrock,DQM,82.0
far,rosenbrock,ESOM,96.0
far,rosenbrock,SONATA,100.0
far,rosenbrock,NetworkGIANT,100.0
far,styblinski_tang,DisGrem,57.0
far,styblinski_tang,CeDisGrem,67.0
far,styblinski_tang,AdaDisGrem,100.0
far,styblinski_tang,CeAdaDisGrem,100.0
far,styblinski_tang,EXTRA,0.0
far,styblinski_tang,DIGing,0.0
far,styblinski_tang,DQM,0.0
far,styblinski_tang,ESOM,0.0
far,styblinski_tang,SONATA,100.0
far,styblinski_tang,NetworkGIANT,100.0
far,logreg_ncvr,DisGrem,100.0
far,logreg_ncvr,CeDisGrem,91.0
far,logreg_ncvr,AdaDisGrem,100.0
far,logreg_ncvr,CeAdaDisGrem,65.0
far,logreg_ncvr,EXTRA,0.0
far,logreg_ncvr,DIGing,1.0
far,logreg_ncvr,DQM,0.0
far,logreg_ncvr,ESOM,0.0
far,logreg_ncvr,SONATA,98.0
far,logreg_ncvr,NetworkGIANT,98.0
